Year,Month,Division,District,Crime Type,Reported Number,Division_legends,District_legends,,
2011,2,6,Shikarpur,Murder during dacoity/robbery,0,,,,
2011,2,6,Shikarpur,Highway dacoity/robbery,1,,,,
2011,2,6,Shikarpur,Bank dacoity/robbery,0,,,,
2011,2,6,Shikarpur,Car snatching,0,,,,
2011,2,6,Larkana,Murder,6,,,,
2011,2,6,Larkana,Murder in the form of target killing,0,,,,
2011,2,6,Larkana,Murder during dacoity/robbery,0,,,,
2011,2,6,Larkana,Highway dacoity/robbery,0,,,,
2011,2,6,Larkana,Bank dacoity/robbery,0,,,,
2011,2,6,Larkana,Car snatching,0,,,,
2011,2,6,Kamber Shahdadkot,Murder,9,,,,
2011,2,6,Kamber Shahdadkot,Murder in the form of target killing,0,,,,
2011,2,6,Kamber Shahdadkot,Murder during dacoity/robbery,0,,,,
2011,2,6,Kamber Shahdadkot,Highway dacoity/robbery,0,,,,
2011,2,6,Kamber Shahdadkot,Bank dacoity/robbery,0,,,,
2011,2,6,Kamber Shahdadkot,Car snatching,1,,,,
2011,2,6,Jacobabad,Murder,6,,,,
2011,2,6,Jacobabad,Murder in the form of target killing,0,,,,
2011,2,6,Jacobabad,Murder during dacoity/robbery,0,,,,
2011,2,6,Jacobabad,Highway dacoity/robbery,0,,,,
2011,2,6,Jacobabad,Bank dacoity/robbery,0,,,,
2011,2,6,Jacobabad,Car snatching,0,,,,
2011,2,6,Kashmore,Murder,6,,,,
2011,2,6,Kashmore,Murder in the form of target killing,0,,,,
2011,2,6,Kashmore,Murder during dacoity/robbery,0,,,,
2011,2,6,Kashmore,Highway dacoity/robbery,0,,,,
2011,2,6,Kashmore,Bank dacoity/robbery,0,,,,
2011,2,6,Kashmore,Car snatching,0,,,,
2011,3,2,South Zone,Murder,18,,,,
2011,3,2,South Zone,Murder in the form of target killing,0,,,,
2011,3,2,South Zone,Murder during dacoity/robbery,4,,,,
2011,3,2,South Zone,Highway dacoity/robbery,0,,,,
2011,3,2,South Zone,Bank dacoity/robbery,0,,,,
2011,3,2,South Zone,Car snatching,3,,,,
2011,3,2,East Zone,Murder,48,,,,
2011,3,2,East Zone,Murder in the form of target killing,2,,,,
2011,3,2,East Zone,Murder during dacoity/robbery,4,,,,
2011,3,2,East Zone,Highway dacoity/robbery,9,,,,
2011,3,2,East Zone,Bank dacoity/robbery,0,,,,
2011,3,2,East Zone,Car snatching,30,,,,
2011,3,2,West Zone,Murder,29,,,,
2011,3,2,West Zone,Murder in the form of target killing,0,,,,
2011,3,2,West Zone,Murder during dacoity/robbery,3,,,,
2011,3,2,West Zone,Highway dacoity/robbery,0,,,,
2011,3,2,West Zone,Bank dacoity/robbery,0,,,,
2011,3,2,West Zone,Car snatching,20,,,,
2011,3,1,1.1,Murder,8,,,,
2011,3,1,1.1,Murder in the form of target killing,0,,,,
2011,3,1,1.1,Murder during dacoity/robbery,2,,,,
2011,3,1,1.1,Highway dacoity/robbery,0,,,,
2011,3,1,1.1,Bank dacoity/robbery,0,,,,
2011,3,1,1.1,Car snatching,0,,,,
2011,3,1,Matyari,Murder,1,,,,
2011,3,1,Matyari,Murder in the form of target killing,0,,,,
2011,3,1,Matyari,Murder during dacoity/robbery,0,,,,
2011,3,1,Matyari,Highway dacoity/robbery,0,,,,
2011,3,1,Matyari,Bank dacoity/robbery,0,,,,
2011,3,1,Matyari,Car snatching,0,,,,
2011,3,1,T.A Yar,Murder,3,,,,
2011,3,1,T.A Yar,Murder in the form of target killing,0,,,,
2011,3,1,T.A Yar,Murder during dacoity/robbery,0,,,,
2011,3,1,T.A Yar,Highway dacoity/robbery,0,,,,
2011,3,1,T.A Yar,Bank dacoity/robbery,0,,,,
2011,3,1,T.A Yar,Car snatching,0,,,,
2011,3,1,T.M Khan,Murder,2,,,,
2011,3,1,T.M Khan,Murder in the form of target killing,0,,,,
2011,3,1,T.M Khan,Murder during dacoity/robbery,0,,,,
2011,3,1,T.M Khan,Highway dacoity/robbery,0,,,,
2011,3,1,T.M Khan,Bank dacoity/robbery,0,,,,
2011,3,1,T.M Khan,Car snatching,0,,,,
2011,3,1,Jamshoro,Murder,4,,,,
2011,3,1,Jamshoro,Murder in the form of target killing,0,,,,
2011,3,1,Jamshoro,Murder during dacoity/robbery,0,,,,
2011,3,1,Jamshoro,Highway dacoity/robbery,0,,,,
2011,3,1,Jamshoro,Bank dacoity/robbery,0,,,,
2011,3,1,Jamshoro,Car snatching,0,,,,
2011,3,1,Dadu,Murder,8,,,,
2011,3,1,Dadu,Murder in the form of target killing,0,,,,
2011,3,1,Dadu,Murder during dacoity/robbery,0,,,,
2011,3,1,Dadu,Highway dacoity/robbery,2,,,,
2011,3,1,Dadu,Bank dacoity/robbery,0,,,,
2011,3,1,Dadu,Car snatching,1,,,,
2011,3,1,Thatta,Murder,3,,,,
2011,3,1,Thatta,Murder in the form of target killing,0,,,,
2011,3,1,Thatta,Murder during dacoity/robbery,0,,,,
2011,3,1,Thatta,Highway dacoity/robbery,0,,,,
2011,3,1,Thatta,Bank dacoity/robbery,0,,,,
2011,3,1,Thatta,Car snatching,0,,,,
2011,3,1,1.2,Murder,1,,,,
2011,3,1,1.2,Murder in the form of target killing,0,,,,
2011,3,1,1.2,Murder during dacoity/robbery,0,,,,
2011,3,1,1.2,Highway dacoity/robbery,0,,,,
2011,3,1,1.2,Bank dacoity/robbery,0,,,,
2011,3,1,1.2,Car snatching,0,,,,
2011,3,1,S.B Abad,Murder,4,,,,
2011,3,1,S.B Abad,Murder in the form of target killing,0,,,,
2011,3,1,S.B Abad,Murder during dacoity/robbery,1,,,,
2011,3,1,S.B Abad,Highway dacoity/robbery,0,,,,
2011,3,1,S.B Abad,Bank dacoity/robbery,0,,,,
2011,3,1,S.B Abad,Car snatching,1,,,,
2011,3,1,Mirpurkhas,Murder,2,,,,
2011,3,1,Mirpurkhas,Murder in the form of target killing,0,,,,
2011,3,1,Mirpurkhas,Murder during dacoity/robbery,0,,,,
2011,3,1,Mirpurkhas,Highway dacoity/robbery,0,,,,
2011,3,1,Mirpurkhas,Bank dacoity/robbery,0,,,,
2011,3,1,Mirpurkhas,Car snatching,0,,,,
2011,3,1,Umerkot,Murder,3,,,,
2011,3,1,Umerkot,Murder in the form of target killing,0,,,,
2011,3,1,Umerkot,Murder during dacoity/robbery,0,,,,
2011,3,1,Umerkot,Highway dacoity/robbery,0,,,,
2011,3,1,Umerkot,Bank dacoity/robbery,0,,,,
2011,3,1,Umerkot,Car snatching,0,,,,
2011,3,1,Sanghar,Murder,9,,,,
2011,3,1,Sanghar,Murder in the form of target killing,0,,,,
2011,3,1,Sanghar,Murder during dacoity/robbery,1,,,,
2011,3,1,Sanghar,Highway dacoity/robbery,0,,,,
2011,3,1,Sanghar,Bank dacoity/robbery,0,,,,
2011,3,1,Sanghar,Car snatching,1,,,,
2011,3,1,Tharparkar,Murder,1,,,,
2011,3,1,Tharparkar,Murder in the form of target killing,0,,,,
2011,3,1,Tharparkar,Murder during dacoity/robbery,0,,,,
2011,3,1,Tharparkar,Highway dacoity/robbery,0,,,,
2011,3,1,Tharparkar,Bank dacoity/robbery,0,,,,
2011,3,1,Tharparkar,Car snatching,0,,,,
2011,3,6,6.1,Murder,8,,,,
2011,3,6,6.1,Murder in the form of target killing,0,,,,
2011,3,6,6.1,Murder during dacoity/robbery,0,,,,
2011,3,6,6.1,Highway dacoity/robbery,0,,,,
2011,3,6,6.1,Bank dacoity/robbery,0,,,,
2011,3,6,6.1,Car snatching,1,,,,
2011,3,6,Ghotki,Murder,7,,,,
2011,3,6,Ghotki,Murder in the form of target killing,0,,,,
