Year,Month,Division,Lat,Log,Crime Type,Reported Number,legends
2011,8,Karachi,24.8605,67.0261,5,3,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,8,Karachi,24.8605,67.0261,3,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,8,Karachi,24.8605,67.0261,1,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,8,Karachi,24.8605,67.0261,2,7,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,8,Karachi,24.8844,67.1443,4,80,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,8,Karachi,24.8844,67.1443,6,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,8,Karachi,24.8844,67.1443,5,1,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,8,Karachi,24.8844,67.1443,3,4,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,8,Karachi,24.8844,67.1443,1,1,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,8,Karachi,24.8844,67.1443,2,31,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,8,Karachi,24.8829,66.9748,4,95,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,8,Karachi,24.8829,66.9748,6,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,8,Karachi,24.8829,66.9748,5,6,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,8,Karachi,24.8829,66.9748,3,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,8,Karachi,24.8829,66.9748,1,3,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,8,Karachi,24.8829,66.9748,2,9,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,9,Karachi,24.8605,67.0261,4,7,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,9,Karachi,24.8605,67.0261,6,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
2011,9,Karachi,24.8605,67.0261,5,0,bank robbery=1 Car snatching=2 Highway robbery=3 murder =4 murder during robbery=5 murder as targetkilling =6
