Year,Month,Division,District,Crime Type,Reported Number,Notes
2012,March,Karachi,Central Zone,Murder in the form of target killing,3,
2012,March,Karachi,Central Zone,Murder during dacoity/robbery,3,
2012,March,Karachi,Central Zone,Highway dacoity/robbery,0,
2012,March,Karachi,Central Zone,Bank dacoity/robbery,1,
2012,March,Karachi,Central Zone,Car snatching,7,
2012,March,Karachi,Malir,Murder,19,
2012,March,Karachi,Malir,Murder in the form of target killing,2,
2012,March,Karachi,Malir,Murder during dacoity/robbery,1,
2012,March,Karachi,Malir,Highway dacoity/robbery,5,
2012,March,Karachi,Malir,Bank dacoity/robbery,0,
2012,March,Karachi,Malir,Car snatching,3,
2012,April,Karachi,South Zone,Murder,36,
2012,April,Karachi,South Zone,Murder in the form of target killing,3,
2012,April,Karachi,South Zone,Murder during dacoity/robbery,1,
2012,April,Karachi,South Zone,Highway dacoity/robbery,0,
2012,April,Karachi,South Zone,Bank dacoity/robbery,0,
2012,April,Karachi,South Zone,Car snatching,13,
2012,April,Karachi,East Zone,Murder,34,
2012,April,Karachi,East Zone,Murder in the form of target killing,1,
2012,April,Karachi,East Zone,Murder during dacoity/robbery,4,
2012,April,Karachi,East Zone,Highway dacoity/robbery,0,
2012,April,Karachi,East Zone,Bank dacoity/robbery,1,
2012,April,Karachi,East Zone,Car snatching,34,
2012,April,Karachi,West Zone,Murder,47,
2012,April,Karachi,West Zone,Murder in the form of target killing,5,
2012,April,Karachi,West Zone,Murder during dacoity/robbery,1,
2012,April,Karachi,West Zone,Highway dacoity/robbery,0,
2012,April,Karachi,West Zone,Bank dacoity/robbery,0,
2012,April,Karachi,West Zone,Car snatching,0,
2012,April,Karachi,Central Zone,Murder,29,
2012,April,Karachi,Central Zone,Murder in the form of target killing,1,
2012,April,Karachi,Central Zone,Murder during dacoity/robbery,1,
2012,April,Karachi,Central Zone,Highway dacoity/robbery,0,
2012,April,Karachi,Central Zone,Bank dacoity/robbery,1,
2012,April,Karachi,Central Zone,Car snatching,6,
2012,April,Karachi,Malir,Murder,19,
2012,April,Karachi,Malir,Murder in the form of target killing,2,
2012,April,Karachi,Malir,Murder during dacoity/robbery,3,
2012,April,Karachi,Malir,Highway dacoity/robbery,5,
2012,April,Karachi,Malir,Bank dacoity/robbery,0,
2012,April,Karachi,Malir,Car snatching,1,
2012,May,Karachi,South Zone,Murder,28,
2012,May,Karachi,South Zone,Murder in the form of target killing,1,
2012,May,Karachi,South Zone,Murder during dacoity/robbery,1,
2012,May,Karachi,South Zone,Highway dacoity/robbery,0,
2012,May,Karachi,South Zone,Bank dacoity/robbery,0,
2012,May,Karachi,South Zone,Car snatching,21,
2012,May,Karachi,East Zone,Murder,28,
2012,May,Karachi,East Zone,Murder in the form of target killing,10,
2012,May,Karachi,East Zone,Murder during dacoity/robbery,3,
2012,May,Karachi,East Zone,Highway dacoity/robbery,0,
2012,May,Karachi,East Zone,Bank dacoity/robbery,1,
2012,May,Karachi,East Zone,Car snatching,42,
2012,May,Karachi,West Zone,Murder,48,
2012,May,Karachi,West Zone,Murder in the form of target killing,8,
2012,May,Karachi,West Zone,Murder during dacoity/robbery,2,
2012,May,Karachi,West Zone,Highway dacoity/robbery,0,
2012,May,Karachi,West Zone,Bank dacoity/robbery,1,
2012,May,Karachi,West Zone,Car snatching,1,
2012,May,Karachi,Central Zone,Murder,19,
2012,May,Karachi,Central Zone,Murder in the form of target killing,1,
2012,May,Karachi,Central Zone,Murder during dacoity/robbery,1,
2012,May,Karachi,Central Zone,Highway dacoity/robbery,0,
2012,May,Karachi,Central Zone,Bank dacoity/robbery,0,
2012,May,Karachi,Central Zone,Car snatching,9,
2012,May,Karachi,Malir,Murder,26,
2012,May,Karachi,Malir,Murder in the form of target killing,0,
2012,May,Karachi,Malir,Murder during dacoity/robbery,0,
2012,May,Karachi,Malir,Highway dacoity/robbery,4,
2012,May,Karachi,Malir,Bank dacoity/robbery,0,
2012,May,Karachi,Malir,Car snatching,3,
2012,June,Karachi,South Zone,Murder,30,
2012,June,Karachi,South Zone,Murder in the form of target killing,16,
2012,June,Karachi,South Zone,Murder during dacoity/robbery,2,
2012,June,Karachi,South Zone,Highway dacoity/robbery,0,
2012,June,Karachi,South Zone,Bank dacoity/robbery,1,
2012,June,Karachi,South Zone,Car snatching,11,
2012,June,Karachi,East Zone,Murder,30,
2012,June,Karachi,East Zone,Murder in the form of target killing,8,
2012,June,Karachi,East Zone,Murder during dacoity/robbery,2,
2012,June,Karachi,East Zone,Highway dacoity/robbery,0,
2012,June,Karachi,East Zone,Bank dacoity/robbery,0,
2012,June,Karachi,East Zone,Car snatching,33,
2012,June,Karachi,West Zone,Murder,40,
2012,June,Karachi,West Zone,Murder in the form of target killing,6,
2012,June,Karachi,West Zone,Murder during dacoity/robbery,0,
2012,June,Karachi,West Zone,Highway dacoity/robbery,0,
2012,June,Karachi,West Zone,Bank dacoity/robbery,0,
2012,June,Karachi,West Zone,Car snatching,1,
2012,June,Karachi,Central Zone,Murder,22,
2012,June,Karachi,Central Zone,Murder in the form of target killing,7,
2012,June,Karachi,Central Zone,Murder during dacoity/robbery,0,
2012,June,Karachi,Central Zone,Highway dacoity/robbery,0,
2012,June,Karachi,Central Zone,Bank dacoity/robbery,2,
2012,June,Karachi,Central Zone,Car snatching,3,
2012,June,Karachi,Malir,Murder,22,
2012,June,Karachi,Malir,Murder in the form of target killing,1,
2012,June,Karachi,Malir,Murder during dacoity/robbery,1,
2012,June,Karachi,Malir,Highway dacoity/robbery,2,
2012,June,Karachi,Malir,Bank dacoity/robbery,0,
2012,June,Karachi,Malir,Car snatching,0,
2012,July,Karachi,South Zone,Murder,26,
2012,July,Karachi,South Zone,Murder in the form of target killing,3,
2012,July,Karachi,South Zone,Murder during dacoity/robbery,1,
2012,July,Karachi,South Zone,Highway dacoity/robbery,0,
2012,July,Karachi,South Zone,Bank dacoity/robbery,1,
2012,July,Karachi,South Zone,Car snatching,26,
2012,July,Karachi,East Zone,Murder,36,
2012,July,Karachi,East Zone,Murder in the form of target killing,1,
2012,July,Karachi,East Zone,Murder during dacoity/robbery,2,
2012,July,Karachi,East Zone,Highway dacoity/robbery,0,
2012,July,Karachi,East Zone,Bank dacoity/robbery,0,
2012,July,Karachi,East Zone,Car snatching,42,
2012,July,Karachi,West Zone,Murder,57,
2012,July,Karachi,West Zone,Murder in the form of target killing,8,
2012,July,Karachi,West Zone,Murder during dacoity/robbery,2,
2012,July,Karachi,West Zone,Highway dacoity/robbery,0,
2012,July,Karachi,West Zone,Bank dacoity/robbery,1,
2012,July,Karachi,West Zone,Car snatching,1,
2012,July,Karachi,Central Zone,Murder,31,
2012,July,Karachi,Central Zone,Murder in the form of target killing,4,
2012,July,Karachi,Central Zone,Murder during dacoity/robbery,2,
2012,July,Karachi,Central Zone,Highway dacoity/robbery,0,
